,Expediente,ID de publicación en TED,Órgano de Contratación,ID del Órgano de Contratación,Estado de la Licitación,Objeto del contrato,Financiación UE,Presupuesto base de licitación sin impuestos,Valor estimado del contrato:,Tipo de Contrato:,Código CPV,Lugar de Ejecución,Sistema de contratación,Procedimiento de contratación,Tipo de tramitación,Método de presentación de la oferta,Fecha fin de presentación de oferta,Resultado,Adjudicatario,Nº de Licitadores Presentados,Importe de Adjudicación,Lote / Descripción ,Fecha fin de presentación de solicitud
0,231/2022/231,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,"Acuerdo Marco de suministro de fondos bibliográficos y audiovisuales con destino a la red municipal de bibliotecas del Ayuntamiento de A Coruña, por lotes",No hay financiación con fondos de la UE,"2,387.61 Euros","2,387.61 Euros",Suministros,22113000-Libros para biblioteca.,España - A Coruña,Contrato basado en un Acuerdo Marco,Abierto,Ordinaria,Electrónica,nan,Adjudicado,Berbiriana S.C.,3,"2,387.60 Euros",No disponible,nan
1,106_2024_11,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Asistencia Técnica de las Obras de Primer Establecimiento de Edificio de 50 viviendas de Promoción Pública en la Parcela Z37 del Parque Ofimático (Xuxán - A Coruña), incluyendo la Coordinación de la Seguridad y Salud durante la ejecución de las obras y su Evaluación Verde","Asociado al Plan de Recuperación, Transformación y Resiliencia","202,629.16 Euros","202,629.16 Euros",Servicios,"71000000-Servicios de arquitectura, construcción, ingeniería e inspección., 71247000-Supervisión del trabajo de construcción., 71313400-Evaluación del impacto ambiental para la construcción., 71317210-Servicios de consultoría en salud y seguridad., 71520000-Servicios de supervisión de obras.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Formalizado,ALVARO ROMERO ARQUITECTOS SLP,2,"154,935.00 Euros",No disponible,nan
2,510_2024_22,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,Servicio de dinamización en zonas comerciales: tu carta a Papá Noel.,No hay financiación con fondos de la UE,"14,415.50 Euros","43,246.50 Euros",Servicios,79952000-Servicios de eventos.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,29/08/2024 23:59,Adjudicado,IRIA MEJUTO BUCETA,5,"12,108.50 Euros",No disponible,nan
3,526_2023_50 L4,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"LOTE 4 del contrato de servicios para la impartición de las acciones formativas presenciales del Servicio Municipal de Empleo y Empresa. Programación 3/23, por lotes.",No hay financiación con fondos de la UE,"133,910.61 Euros","133,910.61 Euros",Servicios,80000000-Servicios de enseñanza y formación.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Formalizado,SARARTE S.L,5,"20,295.87 Euros",No disponible,nan
4,106_2022_188,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Obras comprendidas en el Proyecto de Reurbanización de la calle San Andrés,No hay financiación con fondos de la UE,"3,052,175.10 Euros","3,052,175.10 Euros",Obras,45220000-Obras de ingeniería y trabajos de construcción.,España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Formalizado,"ABECONSA, SLU - CANARGA SL UNION TEMPORAL DE EMPRESAS",10,"2,711,857.58 Euros",No disponible,nan
5,541_2020_2280,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Servicio de conservación, mantenimiento y mejora de la infraestructura verde y azul de la ciudad de A Coruña, por lotes.",No hay financiación con fondos de la UE,"18,985,847.88 Euros","37,840,408.09 Euros",Servicios,"77311000-Servicios de mantenimiento de jardines y parques., 71356100-Servicios de control técnico., 71356200-Servicios de asistencia técnica.",España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,No disponible,nan
6,541_2021_1697,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Servicios para el desarrollo de diversas aplicaciones destinadas al Sistema de Información de la Calidad Ambiental de A Coruña, cofinanciado en un 80 % por el Fondo Europeo de Desarrollo Regional (FEDER) en el marco del Programa Operativo Plurirregional de España 2014-2020",Fondo Europeo de Desarrollo Regional,"74,367.47 Euros","75,359.21 Euros",Servicios,"72212224-Servicios de desarrollo de software de edición de páginas web., 72212220-Servicios de desarrollo de software de Internet e intranet., 72400000-Servicios de Internet., 72500000-Servicios informáticos.",España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Formalizado,"SUEZ SMART ENVIRONMENTAL SOLUTIONS SPAIN, SLU",2,"71,011.74 Euros",No disponible,nan
7,541_2022_2092,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Mejora de los medios de elevación de la Red de Saneamiento en la E.B.A.R. de Adormideras,No hay financiación con fondos de la UE,"41,041.90 Euros","41,041.90 Euros",Suministros,42122000-Bombas (equipos de bombeo).,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Formalizado,"MONTAJES ELECTRICOS VIZCAINO, S.L.",2,"32,694.50 Euros",No disponible,nan
8,A31_2022_69,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Contratación del de mantenimiento del software Proactivanet.,No hay financiación con fondos de la UE,"29,030.33 Euros","87,090.99 Euros",Servicios,72267000-Servicios de mantenimiento y reparación de software.,España - A Coruña,No aplica,Negociado sin publicidad,Ordinaria,Electrónica,nan,Formalizado,Espiral Microsistemas S.L.U,1,"29,030.00 Euros",No disponible,nan
9,525_2022_29,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,Procedimiento simplificado abreviado para el contrato por Lotes del Suministro y servicio de organización y realización de acciones para dinamización de los mercados municipales.,No hay financiación con fondos de la UE,"28,746.90 Euros","57,493.81 Euros",Servicios,"79952000-Servicios de eventos., 18921000-Maletas., 22300000-Tarjetas postales, tarjetas de felicitación y otro material impreso.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,20/07/2022 23:59,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,No disponible,nan
